TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	15/04/23
TIME	12:57:07
SPECTROMETER/DATA SYSTEM	
LOCALE	1045
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	REFLECTANCE
FIRSTX	 2000,0000
LASTX	  200,0000
NPOINTS	    1801
FIRSTY	    70,89654
MAXY	    81,29649
MINY	    16,75885
XYDATA
932,0000	78,7225
931,0000	78,7556
930,0000	78,7206
929,0000	78,7654
928,0000	78,8906
927,0000	78,8674
926,0000	78,8616
925,0000	78,8569
924,0000	78,7661
923,0000	78,8137
922,0000	78,8019
921,0000	78,8227
920,0000	78,7701
919,0000	78,7983
918,0000	78,8152
917,0000	78,8032
916,0000	78,9044
915,0000	78,834
914,0000	78,7648
913,0000	78,7534
912,0000	78,6926
911,0000	78,7757
910,0000	78,8932
909,0000	78,8802
908,0000	78,8964
907,0000	78,8031
906,0000	78,8137
905,0000	78,8364
904,0000	78,8594
903,0000	78,9477
902,0000	78,8788
901,0000	78,8707
900,0000	78,8417
899,0000	78,7233
898,0000	78,6873
897,0000	78,7119
896,0000	78,6799
895,0000	78,8242
894,0000	78,7871
893,0000	78,7222
892,0000	78,7226
891,0000	78,7117
890,0000	78,7827
889,0000	78,8282
888,0000	78,8272
887,0000	78,7152
886,0000	78,6831
885,0000	78,6536
884,0000	78,6808
883,0000	78,8019
882,0000	78,7955
881,0000	78,8352
880,0000	78,8192
879,0000	78,6731
878,0000	78,6646
877,0000	78,6954
876,0000	78,6884
875,0000	78,7695
874,0000	78,7368
873,0000	78,6564
872,0000	78,6751
871,0000	78,6986
870,0000	78,7067
869,0000	78,7088
868,0000	78,6579
867,0000	78,6571
866,0000	78,745
865,0000	78,7578
864,0000	78,7506
863,0000	78,7386
862,0000	78,7028
861,0000	78,6792
860,0000	78,6812
859,0000	78,6914
858,0000	78,6898
857,0000	78,7649
856,0000	78,8484
855,0000	78,8172
854,0000	78,7915
853,0000	78,8586
852,0000	78,8782
851,0000	78,8037
850,0000	79,6843
849,0000	79,704
848,0000	79,6904
847,0000	79,607
846,0000	79,7412
845,0000	79,8024
844,0000	79,7236
843,0000	79,8463
842,0000	79,8399
841,0000	79,7553
840,0000	79,9198
839,0000	79,9337
838,0000	80,0829
837,0000	80,0797
836,0000	80,0185
835,0000	79,8946
834,0000	79,9486
833,0000	80,082
832,0000	80,1116
831,0000	80,2282
830,0000	80,0015
829,0000	80,0157
828,0000	79,9953
827,0000	80,0032
826,0000	80,2145
825,0000	80,177
